UserID,CodeID,Duration,TimeTotal,Correct,Answer,TimeStamp,rank
2,7,6256,6256,T,0,"2016-03-29 18:46:45",77
6,110,16446,16446,F,2,"2016-03-29 18:46:53",51
4,118,20282,20282,F,"no clue","2016-03-29 18:47:01",71
3,122,24111,24111,T,4,"2016-03-29 18:47:08",45
6,42,14594,14594,T,21,"2016-03-29 18:47:08",52
2,79,23475,23475,F,"4 12","2016-03-29 18:47:09",78
2,123,8322,8322,F,6,"2016-03-29 18:47:17",79
6,51,16312,16312,F,6,"2016-03-29 18:47:25",53
2,13,20206,20206,T,"3 5","2016-03-29 18:47:38",80
4,65,39385,39385,F,"3 4,6","2016-03-29 18:47:41",72
6,70,23613,23613,T,"4 5","2016-03-29 18:47:49",54
6,100,4193,4193,T,1,"2016-03-29 18:47:53",55
2,87,18857,18857,T,4,"2016-03-29 18:47:57",81
3,111,49511,49511,F,"3 7","2016-03-29 18:47:58",46
4,72,17457,17457,T,"2 1","2016-03-29 18:47:58",73
2,25,8024,8024,T,5,"2016-03-29 18:48:05",82
4,100,6924,6924,T,1,"2016-03-29 18:48:06",74
2,50,10149,10149,T,1,"2016-03-29 18:48:16",83
4,110,11425,11425,T,3,"2016-03-29 18:48:17",75
3,34,24634,24634,T,6,"2016-03-29 18:48:23",47
6,47,41908,41908,F,19,"2016-03-29 18:48:35",56
6,29,7707,7707,T,5,"2016-03-29 18:48:44",57
4,77,36483,36483,F,"0 9","2016-03-29 18:48:54",76
3,65,32583,32583,F,"3 4 6","2016-03-29 18:48:56",48
4,91,17239,17239,F,qwert,"2016-03-29 18:49:12",77
6,78,28548,28548,F,"1 6","2016-03-29 18:49:12",58
3,72,16693,16693,T,"2 1","2016-03-29 18:49:13",49
4,29,5519,5519,T,5,"2016-03-29 18:49:18",78
4,13,14330,14330,F,"2 5","2016-03-29 18:49:32",79
4,19,11278,11278,F,"2 1","2016-03-29 18:49:44",80
6,83,34284,34284,F,"3 5 1","2016-03-29 18:49:47",59
4,55,5349,5349,T,true,"2016-03-29 18:49:50",81
4,7,6962,6962,T,0,"2016-03-29 18:49:57",82
6,22,13155,13155,F,true,"2016-03-29 18:50:01",60
6,106,4544,4544,T,23,"2016-03-29 18:50:05",61
6,9,12057,12057,F,false,"2016-03-29 18:50:18",62
4,86,36665,36665,F,"0 4","2016-03-29 18:50:34",83
6,93,19405,19405,F,3[zxcvb],"2016-03-29 18:50:38",63
7,90,75408,75408,T,4,"2016-03-29 18:50:44",0
3,90,62200,100721,T,4,"2016-03-29 18:50:54",50
6,18,17383,17383,F,true,"2016-03-29 18:50:55",64
3,104,8440,8440,T,g,"2016-03-29 18:51:03",51
7,59,18979,18979,T,true,"2016-03-29 18:51:03",1
3,3,13096,13096,F,false,"2016-03-29 18:51:16",52
6,65,24699,24699,F,4,"2016-03-29 18:51:20",65
6,118,12419,12419,F,1,"2016-03-29 18:51:33",66
7,44,31818,31818,T,cdef,"2016-03-29 18:51:35",2
7,74,12300,12300,T,true,"2016-03-29 18:51:48",3
3,27,36148,36148,T,4,"2016-03-29 18:51:53",53
6,57,24801,24801,T,false,"2016-03-29 18:51:58",67
7,8,14635,14635,T,6,"2016-03-29 18:52:03",4
7,62,9753,9753,T,"2 1","2016-03-29 18:52:13",5
6,52,3316,3316,F,1,"2016-03-29 18:52:22",69
6,97,10640,10640,F,1,"2016-03-29 18:52:33",70
3,84,44093,44093,T,"11 11 10","2016-03-29 18:52:37",54
3,60,19300,19300,T,true,"2016-03-29 18:52:57",55
6,90,29500,29500,T,4,"2016-03-29 18:53:03",71
6,121,14365,14365,T,4,"2016-03-29 18:53:18",72
6,5,7085,7085,F,false,"2016-03-29 18:53:25",73
7,93,63437,96546,F,3,"2016-03-29 18:53:50",6
6,111,28736,28736,F,"6 2","2016-03-29 18:53:54",74
3,118,62492,62492,T,4,"2016-03-29 18:54:01",56
6,45,14786,14786,F,"5, 3, 8, 6","2016-03-29 18:54:09",75
6,11,8884,8884,F,false,"2016-03-29 18:54:19",76
3,15,18475,18475,F,"false 0","2016-03-29 18:54:20",57
6,104,5462,5462,T,g,"2016-03-29 18:54:24",77
3,97,8236,8236,T,2,"2016-03-29 18:54:29",58
6,71,18279,18279,F,"1 2","2016-03-29 18:54:43",78
